,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
180,Fernanda Salazar Morales,182,21,2,0,2,0,0,Irene Gomez Martinez,Revés,Ciudad de México ,23/02/1998,168cm,Ciudad de México ,https://www.worldpadeltour.com/jugadores/fernanda-salazar-morales/,05/04/2021
181,Francesca Campigotto Canesso,183,21,0,0,0,0,1,Carolina Petrelli Schiavini,,,17/10/1991,,,https://www.worldpadeltour.com/jugadores/francesca-campigotto-canesso/,05/04/2021
182,Ana Paula De La Peña Rosas ,185,20,0,0,0,0,0,,,,01/01/0001,,,https://www.worldpadeltour.com/jugadores/ana-paula-de-la-pena-rosas/,05/04/2021
183,De Kermadec Aurore ,185,19,2,1,1,50,1,Wendy Barsotti,,,01/01/1980,,,https://www.worldpadeltour.com/jugadores/de-kermadec-aurore/,05/04/2021
184,Palma Osorio Lomeñas,185,19,1,0,1,0,1,Carlotta Casali Vannicelli,Drive,Málaga ,26/08/2003,1.75,Istán ,https://www.worldpadeltour.com/jugadores/palma-osorio-lomenas/,05/04/2021
185,Wendy Barsotti ,185,19,2,1,1,50,1,De Kermadec Aurore,,,01/01/1980,,,https://www.worldpadeltour.com/jugadores/wendy-barsotti/,05/04/2021
186,Sandra Enjuto Guisado,188,18,6,0,6,0,0,Irene Arzamendi García,Revés,San Sebastián/ Donostia,20/07/1997,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/sandra-enjuto-guisado/,05/04/2021
187,Eunice Maria Rodriguez Garcia,189,18,0,0,0,0,0,Priscila Rodriguez Garcia,Revés,Sevilla,08/03/2004,"1,75",Sevilla,https://www.worldpadeltour.com/jugadores/eunice-maria-rodriguez-garcia/,05/04/2021
188,Jesica Daiana Brys ,189,18,1,0,1,0,0,Neus Garau Sastre,Drive,Posadas (Misiones). Doble nacionalidad Argentina- Polaca,21/01/1988,1.79,Palma de Mallorca - Islas Baleares- España,https://www.worldpadeltour.com/jugadores/jesica-daiana-brys/,05/04/2021
189,Priscila Rodriguez Garcia,189,18,0,0,0,0,0,Eunice Maria Rodriguez Garcia,Revés,Sevilla,08/03/2004,1’78,Sevilla,https://www.worldpadeltour.com/jugadores/priscila-rodriguez-garcia/,05/04/2021
190,Esther Cespedes Lopez,192,17,2,0,2,0,0,María Negrillo Macarro,Drive,Almería ,16/11/2002,157,Granada,https://www.worldpadeltour.com/jugadores/esther-cespedes-lopez/,05/04/2021
191,Marta Guallart Lain,192,17,7,3,4,"42,86",2,Rafaella Masseron Laviaguerre Silva,Revés,Zaragoza,07/11/1985,"1,75",Madrid ,https://www.worldpadeltour.com/jugadores/marta-guallart-lain/,05/04/2021
192,Natalia Rodríguez Laudelino,192,17,0,0,0,0,2,Ksenia Sharifova,Drive,Buenos Aires,27/12/1982,"1,60",Valencia,https://www.worldpadeltour.com/jugadores/natalia-rodriguez-laudelino/,05/04/2021
193,Alba Pérez Momha,195,16,59,29,30,"49,15",5,Agustina Ceretani Hegi,Revés,Málaga,18/09/1999,"1,65",MARBELLA,https://www.worldpadeltour.com/jugadores/alba-perez-momha/,05/04/2021
194,Irene Gomez Martinez ,195,16,2,0,2,0,0,Cristina Álvarez Narros,Revés,Madrid,22/02/1995,"1,67",Madrid,https://www.worldpadeltour.com/jugadores/irene-gomez-martinez/,05/04/2021
195,Alba Ferrer Giner,197,15,5,2,3,40,2,Marta Quevedo Alvare,Drive,Avilés,24/09/1996,"1,63",Avilés,https://www.worldpadeltour.com/jugadores/alba-ferrer-giner/,05/04/2021
196,Francesca Ligotti ,198,15,0,0,0,0,0,Claudia Noemi Cascella Piccolo,Drive,Turin,21/02/2001,"1,69",Turin ,https://www.worldpadeltour.com/jugadores/francesca-ligotti/,05/04/2021
197,Ainhoa Gomez Aleman,199,14,1,0,1,0,0,Paula Hoyos Miranda,Drive,Las Palmas de gran Canaria,03/08/2003,"1,57",Las Palmas de gran Canaria,https://www.worldpadeltour.com/jugadores/ainhoa-gomez-aleman/,05/04/2021
198,Ariadna Rovira Benito,199,14,1,0,1,0,0,Fiona Ligi,Revés,Vic,02/01/1995,1'68,Vic,https://www.worldpadeltour.com/jugadores/ariadna-rovira-benito/,05/04/2021
